SEP=;
    No.;           Frequency;           Real (Zin);           Imag (Zin);            Abs (Zin);          Phase (Zin);             Real (I);             Imag (I);              Abs (I);            Phase (I);             Real (U);             Imag (U);              Abs (U);            Phase (U);             Real (S);             Imag (S);              Abs (S);            Phase (S);           Real (Rho);           Imag (Rho);            Abs (Rho);          Phase (Rho);             VSWR;          Return Loss;          Trans. Loss;
    ---;                MHz;                Ohm;                Ohm;                Ohm;                deg;                   A;                   A;                   A;                 deg;                   V;                   V;                   V;                 deg;                   W;                  VA;                  VA;                 deg;                ---;                ---;                ---;                deg;                ---;                dB;                dB;
1;100;1.61803;511.816;511.818;89.8189;6.17666E-06;-0.00195381;0.00195382;-89.8189;1;1.89312E-19;1;1.08468E-17;6.17666E-06;0.00195381;0.00195382;89.8189;0.980494;0.193416;0.999388;11.1591;3268.9;0.00531427;29.1261;
2;150;33.0358;-1256.14;1256.57;-88.4935;2.09224E-05;0.000795542;0.000795817;88.4935;1;-2.16671E-18;1;-1.24143E-16;2.09224E-05;-0.000795542;0.000795817;-88.4935;0.99476;-0.0792629;0.997913;-4.55572;957.424;0.0181443;23.7995;
3;200;4.6018;-237.875;237.919;-88.8917;8.12959E-05;0.00420232;0.00420311;88.8917;1;-1.80587E-18;1;-1.03469E-16;8.12959E-05;-0.00420232;0.00420311;-88.8917;0.908333;-0.399348;0.992244;-23.7327;256.876;0.0676274;18.1104;
4;250;3.37284;-57.5138;57.6126;-86.6438;0.00101616;0.0173276;0.0173573;86.6438;1;-2.73761E-18;1;-1.56854E-16;0.00101616;-0.0173276;0.0173573;-86.6438;0.133064;-0.934197;0.943626;-81.8935;34.4773;0.504002;9.60308;
5;300;4.14814;72.4372;72.5558;86.7225;0.000787968;-0.0137599;0.0137825;-86.7225;1;-3.06287E-18;1;-1.7549E-16;0.000787968;0.0137599;0.0137825;86.7225;0.337975;0.88563;0.947928;69.1121;37.4086;0.46449;9.93825;
6;350;11.5757;281.182;281.42;87.6426;0.000146163;-0.0035504;0.00355341;-87.6426;1;-6.00716E-18;1;-3.44185E-16;0.000146163;0.0035504;0.00355341;87.6426;0.925682;0.339367;0.98593;20.1336;141.145;0.123079;15.5374;
7;400;1338.81;2909.16;3202.44;65.2878;0.000130544;-0.000283664;0.000312262;-65.2878;1;-1.36881E-17;1;-7.84268E-16;0.000130544;0.000283664;0.000312262;65.2878;0.986636;0.0279942;0.987033;1.62524;153.236;0.113368;15.8895;
8;450;37.5496;-373.468;375.351;-84.2586;0.000266521;0.00265081;0.00266418;84.2586;1;-5.01444E-18;1;-2.87306E-16;0.000266521;-0.00265081;0.00266418;-84.2586;0.9405;-0.253813;0.974147;-15.1026;76.3595;0.227513;12.921;
9;500;16.1492;-113.228;114.374;-81.8829;0.00123452;0.00865567;0.00874326;81.8829;1;1.78758E-17;1;1.02421E-15;0.00123452;-0.00865567;0.00874326;-81.8829;0.615329;-0.658444;0.901209;-46.9386;19.2448;0.903489;7.26253;
